"query","function_calls","full_response","error"
"Update the status of Cameron Anderson to qualified in the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Update the status of Riley Brown to proposal in the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Update the status of Jessie Thomas to won in the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Quinn Thomas has moved to lead status. Can you update that in the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Update the status of Quinn Harris to won in the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Quinn Brown has moved to lost status. Can you update that in the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Update the status of Jamie Anderson to lost in the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"We've got a new customer that's moved to proposal status. Can you update Kerry Brown to proposal in the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Update the status of Jordan Jones to won in the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Jamie Davis has moved to lead status. Can you update that in the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Casey White is no longer a customer. Can you delete them from the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Delete Rahul Martinez from the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"We no longer need to keep Shannon Wilson in the crm. Can you delete them?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Rahul Moore is no longer a customer. Can you delete them from the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Delete Peyton Jones from the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Kerry Moore is no longer a customer. Can you delete them from the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Delete Shannon Jones from the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Delete Jamie Taylor from the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Kerry Robinson is no longer a customer. Can you delete them from the crm?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Delete Jaden White from the crm","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"can you add Morgan Wilson to the crm? They're a new lead and need to be assigned to Nadia","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Add Avery White as a new lead in the crm and assign them to Raj","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"We've got a new lead called Jordan Moore. Can you add them to the crm and assign them to Akira?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Add Quinn Robinson as a new lead in the crm and assign them to Raj","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Add Rahul Johnson as a new lead in the crm and assign them to Lena","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"can you add Jaden Brown to the crm? They're a new lead and need to be assigned to Sofia","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"can you add Taylor Robinson to the crm? They're a new lead and need to be assigned to Sofia","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Add Jordan Moore as a new lead in the crm and assign them to Nadia","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"Add Rahul Davis as a new lead in the crm and assign them to Akira","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
"We've got a new lead called Dakota Wilson. Can you add them to the crm and assign them to Sofia?","[]","","Error code: 400 - {'error': {'message': {'error': 'chat_completion: Invalid model name passed in model=gpt-4o'}, 'type': 'None', 'param': 'None', 'code': 400}}"
